trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,tilt,participant,session,date,expName,psychopyVersion,frameRate
79,0,79,0,135.6673293,136.6680981,136.6817258,down,1,0.457109672,3,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
80,0,80,0,137.1480199,138.1474323,138.1474323,up,1,0.557759195,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
81,0,81,0,138.7326606,139.7148264,139.7486817,up,1,0.417402705,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
82,0,82,0,140.1522856,141.1481481,141.1655996,down,0,0.32439187,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
83,0,83,0,141.4978638,142.4992819,142.4992819,down,0,0.334276528,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
84,0,84,0,142.8654397,143.8655502,143.8655502,up,0,0.256855369,4,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
85,0,85,0,144.1478294,145.1483267,145.1483267,down,1,0.405862343,-3,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
86,0,86,0,145.58239,146.5819882,146.597703,up,1,0.300875248,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
87,0,87,0,146.9007509,147.8978604,147.9159267,down,0,0.380248503,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
88,0,88,0,148.2980576,149.2992218,149.2992218,down,1,0.420280786,-3,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
89,0,89,0,149.7483191,150.7477474,150.7477474,up,0,0.30156801,2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
90,0,90,0,151.0678493,152.0647324,152.0810776,up,0,0.314512806,4,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
91,0,91,0,152.4000912,153.397747,153.4146238,down,0,0.390747847,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
92,0,92,0,153.8294624,154.8145646,154.8326168,up,1,0.309474874,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
93,0,93,0,155.1480203,156.1490199,156.1490199,up,1,0.30769123,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
94,0,94,0,156.4813181,157.4822354,157.4822354,up,0,0.445623279,1,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
95,0,95,0,157.9488021,158.9479141,158.9479141,down,0,0.291943183,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
96,0,96,0,159.2646554,160.2648134,160.2648134,down,0,0.347887395,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
97,0,97,0,160.6331198,161.6307565,161.6488789,up,1,0.297412448,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
98,0,98,0,161.9501132,162.9478103,162.9654181,up,1,0.325973764,0,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
99,0,99,0,163.2977436,164.2991182,164.2991182,up,0,0.367803944,-2,T8,8,2022-09-14_10h58.39.418,orient.discrimination T2,2022.2.2,59.97515182
